country;population;area;density_pop;coastline;migration;Infant_mortality;gdp;literacy;phones;arable;crops;other;climate;birthrate;death rate;agriculture;industry;service;happiness_score;gdp_h;social_support;health;freedom;generosity;government_trust;dystopia_residual;continent
Switzerland ;7523934;41290;182.2;0.00;4.05;4.39;32700;99.0;680.9;10.42;0.61;88.97;3;9.71;8.49;15;0.34;645;7.559899807000001;1.39077425;1.4724034069999998;1.040533185;0.62895447;0.269055754;0.407945901;2.35026741;Europe
Tajikistan ;7320815;143100;51.2;0.00;-2.86;110.76;1000;99.4;33.5;6.61;0.92;92.47;2;32.65;8.25;234;286;0.48;5.555699825;0.474874616;1.218377709;0.680594802;0.521141171;0.182417125;0.221779913;2.25650835;Asia
Tanzania ;37445392;945087;39.6;0.15;-2.06;98.54;600;78.2;4.0;4.52;1.08;94.4;;37.71;16.39;432;172;396;3.476200104;0.457163125;0.872674644;0.442677855;0.5093430879999999;0.27154091;0.203880861;0.718963385;Africa
Thailand ;64631595;514000;125.7;0.63;0;20.48;7400;92.6;108.9;29.36;6.46;64.18;2;13.87;7.04;99;441;0.46;5.9987998010000005;1.007029295;1.3475195169999998;0.7938558459999999;0.609449804;0.376709014;0.031837862;1.832384109;Asia
Togo ;5548702;56785;97.7;0.10;0;66.61;1500;60.9;10.6;46.15;2.21;51.64;2;37.01;9.83;395;204;401;4.187200069;0.268116266;0.547622859;0.342731178;0.303539038;0.200774252;0.114826456;2.409595251;Africa
Tunisia ;10175014;163610;62.2;0.70;-0.57;24.77;6900;74.2;123.6;17.86;13.74;68.4;3;15.52;5.13;132;318;0.55;4.392199993;0.874742687;0.8721677059999999;0.781156719;0.23586055600000005;0.055881143;0.043899573;1.528496742;Africa
Turkey ;70413958;780580;90.2;0.92;0;41.04;6700;86.5;269.5;30.93;3.31;65.76;3;16.62;5.97;117;298;585;5.131800175;1.127169251;1.197159171;0.781335294;0.25440076;0.08588556900000001;0.120983243;1.564816713;Asia
Turkmenistan ;5042920;488100;10.3;0.00;-0.86;73.08;5800;98.0;74.6;3.72;0.14;96.14;1;27.61;8.6;209;0.38;411;5.119100093999999;1.008963585;1.510476947;0.6124480370000001;0.515236676;0.323129326;0.03350389;1.115337372;Asia
Uganda ;28195754;236040;119.5;0.00;0;67.83;1400;69.9;3.6;25.88;10.65;63.47;2;47.35;12.24;311;222;469;4.43200016;0.31233742800000003;1.052327394;0.378311664;0.401682556;0.264807373;0.063818842;1.958671093;Africa
Ukraine ;46710816;603700;77.4;0.46;-0.39;20.34;5400;99.7;259.9;56.21;1.61;42.18;3;8.82;14.39;187;452;361;4.56069994;0.780434608;1.321316481;0.6986743809999999;0.319423705;0.17855131600000002;0.00965116;1.252669334;Europe
United Arab Emirates ;2602713;82880;31.4;1.59;1.03;14.51;23200;77.9;475.3;0.6;2.25;97.15;1;18.96;4.4;0.04;585;375;6.790800095;1.4310864209999998;1.251170993;0.787814438;0.652936101;0.28065598;0.220213518;2.166965961;Asia
United Kingdom ;60609153;244820;247.6;5.08;2.19;5.16;27700;99.0;543.5;23.46;0.21;76.33;3;10.71;10.13;5;237;758;7.164500237;1.273061037;1.457844973;0.97570008;0.525168657;0.373433441;0.322601646;2.236721992;Europe
United States ;298444215;9631420;31.0;0.21;3.41;6.5;37800;97.0;898.0;19.13;0.22;80.65;3;14.14;8.26;0.01;204;787;6.9395999910000015;1.37398684;1.404786706;0.831618011;0.534608245;0.298143059;0.152284741;2.344124794;North America
Uruguay ;3431932;176220;19.5;0.37;-0.32;11.95;12800;98.0;291.4;7.43;0.23;92.34;3;13.91;9.05;93;311;596;6.440100192999999;1.071000457;1.425081134;0.856928885;0.59426707;0.132143691;0.193425074;2.167276382;South America
Uzbekistan ;27307134;447400;61.0;0.00;-1.72;71.1;1700;99.3;62.9;10.83;0.83;88.34;1;26.36;7.84;342;229;0.43;6.257599831;0.6966529490000001;1.4340200419999998;0.716703713;0.6932703259999999;0.363311023;0.280260265;2.073346615;Asia
Venezuela ;25730435;912050;28.2;0.31;-0.04;22.2;4800;93.4;140.1;2.95;0.92;96.13;2;18.71;4.92;0.04;419;541;5.053199768;0.7702386379999999;1.3485468630000002;0.76702553;0.271717221;0.08717915400000001;0.06362477700000001;1.74484086;South America
Vietnam ;84402966;329560;256.1;1.05;-0.45;25.95;2500;90.3;187.7;19.97;5.95;74.08;2;16.86;6.22;209;0.41;381;5.353499889;0.718092382;1.253074765;0.819133997;0.650835574;0.136488721;0.089848459;1.685977936;Asia
Yemen ;21456188;527970;40.6;0.36;0;61.5;800;50.2;37.2;2.78;0.24;96.98;1;42.89;8.3;135;472;393;3.527400017;0.392701775;1.177477121;0.41500017;0.243721485;0.094689012;0.08735212699999999;1.1164727209999998;Asia
Zambia ;11502010;752614;15.3;0.00;0;88.29;800;80.6;8.2;7.08;0.03;92.9;2;41;19.93;0.22;0.29;489;3.759399891;0.536833763;0.8960372809999999;0.36359334;0.49131754;0.250620902;0.086705238;1.134339333;Africa
Zimbabwe ;12236805;390580;31.3;0.00;0;67.69;1900;90.7;26.8;8.32;0.34;91.34;2;28.01;21.84;179;243;579;3.2992000580000003;0.425564021;1.047835231;0.375037611;0.37740472;0.151349187;0.080928579;0.841031075;Africa
